reference,publication_year,eon,era,period,epoch,age,framework,depo_env1,depo_env2,depo_env3,paleo_lat,paleo_long,modern_lat,modern_long,numberOfSamples,NumberOfPointsPerSample,microbial,green_algae,red_algae,prob_alga,calc_alga,sponges,sponges_silica,sponges_archaeocyath,sponges_calc,pelagic_foram,foraminifera,bryozoans,graptolites,cephalopods,annelids,sclerec_corals,rugose_corals,corals,trilobite,ostracods,barnacles,brachiopods,gastropods,bivalves,molluska,echinoderm,echinoids,crinoids,radiolarians,calcispheres,unid_biota,other_metazoans,skeletal_total,alga.micro_total,animals_total,protists_total,total_animals_new,total_protists_new,total_alga_new,ooids,peloids,cement,micrite,siliciclastics,fecal_pellets,other_abiotic,Pore.Space,organic_matter,Glauconite.and.other.minerals,Vertebrate.fossils,Phosphates,Glauconite,carbonate_clasts,mean_ma,Dolomite,Pyrite,Cortoids,alga_total,Anhydrite,Paleocontinents1,paleo_geography
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,2.66666666666667,93.6666666666667,3.66666666666667,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,8.33333333333333,91.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,20.6666666666667,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,9.0,70.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,12.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,14.6666666666667,73.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,16.6666666666667,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,19.0,64.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,49.3333333333333,50.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,24.3333333333333,75.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,3.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,3.33333333333333,0.0,3.33333333333333,0.0,3.33333333333333,-1.0,-1.0,,,3.66666666666667,93.0,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,2.66666666666667,97.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,28.6666666666667,,,,,,,3.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.333333333333333,,3.33333333333333,0.0,3.33333333333333,0.0,3.33333333333333,-1.0,-1.0,,,8.0,59.3333333333333,0.0,,0.666666666666667,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,3.33333333333333,96.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,6.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,6.0,0.0,6.0,0.0,6.0,-1.0,-1.0,,,4.0,90.0,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,0.333333333333333,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,4.0,95.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,0.333333333333333,99.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,25.6666666666667,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,1.66666666666667,69.6666666666667,1.0,,2.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,15.6666666666667,84.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,20.3333333333333,,,,,,,1.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,1.33333333333333,0.0,1.33333333333333,0.0,1.33333333333333,-1.0,-1.0,,,6.66666666666667,71.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,4.33333333333333,,,,,,,3.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,3.33333333333333,0.0,3.33333333333333,0.0,3.33333333333333,-1.0,-1.0,,,5.0,87.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,2.0,,,,,,,18.3333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,18.3333333333333,0.0,18.3333333333333,0.0,18.3333333333333,-1.0,-1.0,,,2.66666666666667,75.0,0.0,,2.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,1.33333333333333,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,15.3333333333333,82.6666666666667,0.666666666666667,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,24.6666666666667,,,,,,,2.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.333333333333333,,2.66666666666667,0.0,2.66666666666667,0.0,2.66666666666667,-1.0,-1.0,,,2.33333333333333,70.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,25.0,,,,,,,3.66666666666667,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,3.66666666666667,0.0,3.66666666666667,0.0,3.66666666666667,-1.0,-1.0,,,2.33333333333333,68.3333333333333,0.0,,0.666666666666667,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,15.6666666666667,,,,,,,3.66666666666667,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,3.66666666666667,0.0,3.66666666666667,0.0,3.66666666666667,-1.0,-1.0,,,1.33333333333333,76.3333333333333,3.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,22.0,,,,,,,4.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,4.33333333333333,0.0,4.33333333333333,0.0,4.33333333333333,-1.0,-1.0,,,1.0,72.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,12.6666666666667,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,14.0,73.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,26.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,7.33333333333333,66.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,19.3333333333333,,,,,,,0.333333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.333333333333333,0.0,0.333333333333333,0.0,0.333333333333333,-1.0,-1.0,,,0.333333333333333,79.3333333333333,0.666666666666667,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,5.66666666666667,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,5.33333333333333,86.6666666666667,1.0,,1.33333333333333,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,6.66666666666667,,,,,,,0.666666666666667,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.666666666666667,0.0,0.666666666666667,0.0,0.666666666666667,-1.0,-1.0,,,12.3333333333333,80.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,0.666666666666667,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.666666666666667,0.0,0.666666666666667,0.0,0.666666666666667,-1.0,-1.0,,,6.66666666666667,92.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,0.666666666666667,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.666666666666667,0.0,0.666666666666667,0.0,0.666666666666667,-1.0,-1.0,,,2.66666666666667,96.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,1.0,0.0,1.0,0.0,1.0,-1.0,-1.0,,,6.33333333333333,92.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.333333333333333,,0.333333333333333,0.0,0.333333333333333,0.0,0.333333333333333,-1.0,-1.0,,,13.6666666666667,86.0,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,0.333333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.333333333333333,0.0,0.333333333333333,0.0,0.333333333333333,-1.0,-1.0,,,5.33333333333333,94.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,0.0,,,,,,,1.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,1.33333333333333,0.0,1.33333333333333,0.0,1.33333333333333,-1.0,-1.0,,,14.0,84.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,3.66666666666667,96.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,1.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,1.33333333333333,0.0,1.33333333333333,0.0,1.33333333333333,-1.0,-1.0,,,1.33333333333333,97.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,10.0,,,,,,,2.66666666666667,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,2.66666666666667,0.0,2.66666666666667,0.0,2.66666666666667,-1.0,-1.0,,,0.333333333333333,86.3333333333333,0.0,,0.666666666666667,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.666666666666667,,1.66666666666667,0.0,1.66666666666667,0.0,1.66666666666667,-1.0,-1.0,,,1.33333333333333,97.0,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,22.3333333333333,,,,,,,1.66666666666667,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,1.66666666666667,0.0,1.66666666666667,0.0,1.66666666666667,-1.0,-1.0,,,5.0,71.0,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,12.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,2.0,0.0,2.0,0.0,2.0,-1.0,-1.0,,,0.333333333333333,85.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,2.0,0.0,2.0,0.0,2.0,-1.0,-1.0,,,12.6666666666667,85.3333333333333,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-5.4326,5.6676,47.0,96.0,1,300.0,11.3333333333333,,,,,,,2.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,2.33333333333333,0.0,2.33333333333333,0.0,2.33333333333333,-1.0,-1.0,,,3.66666666666667,82.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,0.0,,,,,,,9.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,9.33333333333333,0.0,9.33333333333333,0.0,9.33333333333333,-1.0,-1.0,,,5.66666666666667,85.0,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,3.66666666666667,,,,,,,4.66666666666667,,,,,,,,,,,,,,,,,,0.0,,,,,0.333333333333333,,5.0,0.0,5.0,0.0,5.0,-1.0,-1.0,,,5.33333333333333,86.0,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,-4.4947,6.0157,46.0,96.0,1,300.0,5.66666666666667,,,,,,,9.33333333333333,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,9.33333333333333,0.0,9.33333333333333,0.0,9.33333333333333,-1.0,-1.0,,,13.3333333333333,71.6666666666667,0.0,,0.0,,,,,,,,531.0,,,,,,Terrane,Tropics
