reference,publication_year,eon,era,period,epoch,age,framework,depo_env1,depo_env2,depo_env3,paleo_lat,paleo_long,modern_lat,modern_long,numberOfSamples,NumberOfPointsPerSample,microbial,green_algae,red_algae,prob_alga,calc_alga,sponges,sponges_silica,sponges_archaeocyath,sponges_calc,pelagic_foram,foraminifera,bryozoans,graptolites,cephalopods,annelids,sclerec_corals,rugose_corals,corals,trilobite,ostracods,barnacles,brachiopods,gastropods,bivalves,molluska,echinoderm,echinoids,crinoids,radiolarians,calcispheres,unid_biota,other_metazoans,skeletal_total,alga+micro_total,animals_total,protists_total,total_animals_new,total_protists_new,total_alga_new,ooids,peloids,cement,micrite,siliciclastics,fecal_pellets,other_abiotic,Pore Space,organic_matter,Glauconite and other minerals,Vertebrate fossils,Phosphates,Glauconite,carbonate_clasts,mean_ma,Dolomite,Pyrite,Cortoids,alga_total,Anhydrite,Paleocontinents1
Pruss et al,2010,Phanerozoic,Paleozoic,Cambrian,Series 3,,platform,innerPlatform,peritidal,,,,48.0,-59.0,1,200.0,0.0,,,,,0.0,,,,,,,,,,,,,16.5,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,16.5,0.0,16.5,0.0,16.5,-1.0,-1.0,0.0,0.0,12.0,19.5,,,52.0,,,,,,,,513.2,,,,,,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,patchReefs,,,,37.0,-117.0,1,200.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,5.0,95.0,0.0,,,,,,,,,,513.2,,,,,0.0,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,patchReefs,,,,37.0,-118.0,1,200.0,4.5,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,0.0,94.5,0.0,,,,,,,,,,513.2,,,,,1.0,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,patchReefs,,,,37.0,-117.0,1,200.0,0.5,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,4.0,95.5,0.0,,,,,,,,,,513.2,,,,,0.0,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,patchReefs,,,,37.0,-117.0,1,200.0,0.0,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,0.0,98.5,1.5,,,,,,,,,,513.2,,,,,0.0,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,patchReefs,,,,37.0,-117.0,1,200.0,0.5,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,0.5,99.0,0.0,,,,,,,,,,513.2,,,,,0.0,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,46.0,96.0,1,300.0,26.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,7.333333333333333,66.66666666666667,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Series 2,,ramp,innerRamp,patchReefs,,,,37.0,-117.0,1,200.0,1.5,,,,,,,0.0,,,,,,,,,,0.0,0.0,,,,0.0,,,0.0,,,,,,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,1.0,97.0,0.5,,,,,,,,,,513.2,,,,,0.0,Laurentia
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,3.6666666666666665,96.33333333333333,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
Cordie thesis,2019,Phanerozoic,Paleozoic,Cambrian,Terreneuvian,,ramp,innerRamp,patchReefs,,,,47.0,96.0,1,300.0,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,-1.0,-1.0,,,9.333333333333334,90.66666666666667,0.0,,0.0,,,,,,,,513.2,,,,,,Terrane
