,Unnamed: 0,genus,phylum,early_interval,occurrence_no,record_type,reid_no,flags,collection_no,accepted_rank,accepted_no,late_interval,reference_no,paleomodel,geoplate,paleoage,paleolng,paleolat,phylum_no,class.x,class_no,order_no,family_no,genus_no,subgenus_no,genus_id,max_ma,min_ma,fad,lad,class.y,order,family,fad_age,lad_age
0,1,Angulocellularia,Rhodophyta,Series 2,205527,occ,,,22941,genus,289830,Series 2,6602,gplates,401,mid,-42.0,6.62,54808,Rhodophyceae,54185,NO,NF,289830,,289830,520.0,513.0,520.0,520.0,Rhodophyceae,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,520.0,513.0
1,2,Angulocellularia,Rhodophyta,Series 2,756796,occ,,,81005,genus,289830,Series 2,27251,gplates,101,mid,-137.81,33.38,54808,Rhodophyceae,54185,NO,NF,289830,,289830,520.0,513.0,520.0,520.0,Rhodophyceae,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,520.0,513.0
2,3,Angulocellularia,Rhodophyta,Series 2,205398,occ,,,22939,genus,289830,Series 2,6600,gplates,401,mid,-42.0,6.62,54808,Rhodophyceae,54185,NO,NF,289830,,289830,520.0,513.0,520.0,520.0,Rhodophyceae,NO_ORDER_SPECIFIED,NO_FAMILY_SPECIFIED,520.0,513.0
3,4,Epiphyton,Rhodophyta,Miaolingian,1421321,occ,,,197283,genus,84255,Miaolingian,67264,gplates,604,mid,103.6,21.04,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,501.0,498.5,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
4,5,Epiphyton,Rhodophyta,Series 2,102857,occ,,,8094,genus,84255,Series 2,545,gplates,801,mid,112.61,-0.86,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
5,6,Epiphyton,Rhodophyta,Series 2,247463,occ,,,24189,genus,84255,Series 2,6839,gplates,305,mid,5.87,-51.36,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
6,7,Epiphyton,Rhodophyta,Series 2,122833,occ,,,9819,genus,84255,Series 2,851,gplates,101,mid,-113.16,44.46,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
7,8,Epiphyton,Rhodophyta,Series 2,123308,occ,,,9894,genus,84255,Series 2,861,gplates,101,mid,-103.06,9.86,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
8,9,Epiphyton,Rhodophyta,Series 2,711125,occ,,,76112,genus,84255,Series 2,25805,gplates,not computable using this model,mid,,,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
9,10,Epiphyton,Rhodophyta,Series 2,125333,occ,,,10167,genus,84255,Series 2,912,gplates,401,mid,-40.51,-1.74,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
10,11,Epiphyton,Rhodophyta,Series 2,205393,occ,,,22939,genus,84255,Series 2,6600,gplates,401,mid,-42.0,6.62,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
11,12,Epiphyton,Rhodophyta,Series 2,745245,occ,,,79944,genus,84255,Series 2,26866,gplates,801,mid,115.85,1.03,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
12,13,Epiphyton,Rhodophyta,Series 2,205483,occ,,,22940,genus,84255,Series 2,6601,gplates,401,mid,-42.0,6.62,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
13,14,Epiphyton,Rhodophyta,Series 2,205523,occ,,,22941,genus,84255,Series 2,6602,gplates,401,mid,-42.0,6.62,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
14,15,Epiphyton,Rhodophyta,Series 2,591996,occ,,,62645,genus,84255,Series 2,18077,gplates,304,mid,-5.31,-64.8,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
15,16,Epiphyton,Rhodophyta,Series 2,247412,occ,,,24192,genus,84255,Series 2,6839,gplates,305,mid,5.87,-51.36,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
16,17,Epiphyton,Rhodophyta,Series 2,247455,occ,,,24190,genus,84255,Series 2,6839,gplates,305,mid,5.87,-51.36,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
17,18,Epiphyton,Rhodophyta,Series 2,596252,occ,,,63210,genus,84255,Series 2,18191,gplates,401,mid,-43.76,6.72,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
18,19,Epiphyton,Rhodophyta,Series 2,757182,occ,,,81028,genus,84255,Series 2,27260,gplates,not computable using this model,mid,,,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
19,20,Epiphyton,Rhodophyta,Series 2,755697,occ,,,80915,genus,84255,Series 2,27228,gplates,802,mid,127.2,-13.41,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
20,21,Epiphyton,Rhodophyta,Series 2,464994,occ,,,45946,genus,84255,Series 2,12254,gplates,401,mid,-46.22,6.6,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
21,22,Epiphyton,Rhodophyta,Series 2,757214,occ,,,81031,genus,84255,Series 2,27260,gplates,not computable using this model,mid,,,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
22,23,Epiphyton,Rhodophyta,Series 2,711151,occ,,,76114,genus,84255,Series 2,25805,gplates,not computable using this model,mid,,,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
23,24,Epiphyton,Rhodophyta,Series 2,711168,occ,,,76115,genus,84255,Series 2,25805,gplates,not computable using this model,mid,,,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
24,25,Epiphyton,Rhodophyta,Series 2,756770,occ,,,81004,genus,84255,Series 2,27251,gplates,101,mid,-137.82,33.36,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
25,26,Epiphyton,Rhodophyta,Series 2,465062,occ,,,45951,genus,84255,Series 2,12254,gplates,401,mid,-44.24,7.04,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
26,27,Epiphyton,Rhodophyta,Series 2,497203,occ,,,50195,genus,84255,Series 2,13489,gplates,not computable using this model,mid,,,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
27,28,Epiphyton,Rhodophyta,Series 2,755151,occ,,,80850,genus,84255,Series 2,27178,gplates,714,mid,-25.38,-74.64,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
28,29,Epiphyton,Rhodophyta,Series 2,593362,occ,,,62865,genus,84255,Series 2,18114,gplates,104,mid,-143.97,30.22,54808,NO_CLASS_SPECIFIED,NC,NO,464846,84255,,84255,520.0,513.0,520.0,501.0,NO_CLASS_SPECIFIED,NO_ORDER_SPECIFIED,Ludloviaceae,520.0,498.5
